Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,High Meaning
455,Literature,Bachelors,"$46,800","$82,800",47%
456,Bachelor in Science Nursing,Bachelors,"$64,000","$82,700",81%
457,History & Political Science,Bachelors,"$50,600","$82,700",50%
458,Museum Studies,Bachelors,"$38,900","$82,700",50%
459,Computer Information Management,Bachelors,"$49,400","$82,600",-
460,Dental Hygiene,Bachelors,"$72,700","$82,600",80%
461,Law,Bachelors,"$54,300","$82,600",53%
462,Network Technology,Bachelors,"$59,800","$82,600",57%
463,Media Studies,Bachelors,"$50,700","$82,400",38%
464,Environmental Geography,Bachelors,"$50,200","$82,300",52%
465,Law Enforcement,Bachelors,"$46,700","$82,200",60%
466,Nuclear Medicine,Bachelors,"$60,300","$81,900",81%
467,Bachelor of Science in Nursing,Bachelors,"$63,800","$81,900",83%
468,Computer Animation,Bachelors,"$46,800","$81,800",36%
469,Landscape Architecture,Bachelors,"$51,500","$81,800",65%
470,Publishing,Bachelors,"$46,300","$81,800",39%
471,Interior Architecture,Bachelors,"$47,600","$81,500",45%
472,Diagnostic Medical Sonography,Bachelors,"$64,300","$81,400",86%
473,Environmental & Natural Resource Economics,Bachelors,"$52,400","$81,400",65%
474,Public Relations (PR),Bachelors,"$45,600","$81,400",42%
475,Workforce Education & Development,Bachelors,"$59,900","$81,400",80%
476,American History (United States),Bachelors,"$50,900","$81,300",52%
477,Drama,Bachelors,"$47,400","$81,100",47%
478,Management (MGT),Bachelors,"$47,000","$81,000",62%
479,Merchandising Management,Bachelors,"$46,800","$80,900",38%
480,Environmental Biology,Bachelors,"$45,000","$80,800",70%
481,Accounting & Business,Bachelors,"$52,400","$80,700",48%
482,Automotive Technology & Service Management,Bachelors,"$48,800","$80,500",32%
483,Speech Communication,Bachelors,"$46,700","$80,500",54%
484,Allied Health,Bachelors,"$44,800","$80,400",78%
485,Agricultural Systems Technology,Bachelors,"$60,500","$80,300",-
486,Emergency Management,Bachelors,"$50,900","$80,300",80%
487,Network Administration,Bachelors,"$48,700","$80,300",56%
488,Communication Management,Bachelors,"$46,000","$80,200",38%
489,Historic Preservation,Bachelors,"$43,400","$80,000",-
490,Broadcast Journalism,Bachelors,"$42,900","$79,900",50%
491,Broadcast & Cinematic Arts,Bachelors,"$42,800","$79,900",43%
492,Automotive Technology,Bachelors,"$48,100","$79,800",47%
493,Business Management & Administration,Bachelors,"$51,400","$79,800",53%
494,Agricultural Business,Bachelors,"$52,700","$79,700",51%
495,Technology Management,Bachelors,"$56,400","$79,700",47%
496,Global Studies,Bachelors,"$51,200","$79,600",46%
497,Professional Studies,Bachelors,"$42,800","$79,600",62%
498,Interpersonal Communications,Bachelors,"$45,000","$79,500",53%
499,Forestry,Bachelors,"$45,900","$79,400",67%
500,Homeland Security,Bachelors,"$49,200","$79,400",72%
501,Ancient History,Bachelors,"$46,000","$79,300",-
502,Botany,Bachelors,"$42,600","$79,300",73%
503,Geography,Bachelors,"$49,700","$79,300",52%
504,Computer Aided Design (CAD),Bachelors,"$48,700","$79,200",-
505,Nutrition Science,Bachelors,"$49,500","$79,200",70%
506,Acting,Bachelors,"$44,200","$79,100",50%
507,Public Management,Bachelors,"$50,200","$79,100",66%
508,Nuclear Medicine Technology,Bachelors,"$61,700","$79,000",82%
509,Apparel & Textile Manufacture,Bachelors,"$48,300","$78,900",37%
510,English Language & Literature,Bachelors,"$46,400","$78,900",44%
511,Urban Studies,Bachelors,"$51,500","$78,900",57%
512,Mass Communication,Bachelors,"$44,800","$78,800",44%
513,Forestry Management,Bachelors,"$48,600","$78,700",71%
514,Radio/Television & Film Production,Bachelors,"$45,700","$78,700",39%
515,Hospital Management,Bachelors,"$53,200","$78,600",45%
516,Human Resources Management (HRM),Bachelors,"$47,900","$78,500",55%
517,Marine Science,Bachelors,"$46,100","$78,400",64%
518,American Sign Language Interpreting,Bachelors,"$43,100","$78,300",87%
519,English & History,Bachelors,"$45,700","$78,300",49%
520,English Language,Bachelors,"$44,600","$78,300",45%
521,Cytotechnology,Bachelors,"$61,900","$78,200",89%
522,Geosciences,Bachelors,"$48,700","$78,200",62%
523,Hospital Administration,Bachelors,"$51,200","$78,200",57%
524,Film Production,Bachelors,"$44,600","$78,100",33%
525,Marine Biology,Bachelors,"$43,300","$78,100",66%
526,Zoology,Bachelors,"$42,100","$77,900",67%
527,Communication Design,Bachelors,"$51,700","$77,800",34%
528,Leadership,Bachelors,"$47,200","$77,500",57%
529,Music Technology,Bachelors,"$44,800","$77,500",39%
530,Musicology,Bachelors,"$40,000","$77,500",-
531,Technical Writing,Bachelors,"$53,300","$77,500",42%
532,Agricultural Communication,Bachelors,"$44,600","$77,400",52%
533,Logistics Management,Bachelors,"$56,300","$77,400",49%
534,German Language & Literature,Bachelors,"$49,400","$77,300",47%
535,Administration,Bachelors,"$44,600","$77,100",58%
536,Apparel Merchandising,Bachelors,"$47,600","$77,100",35%
537,Computer Aided Drafting & Design (CADD),Bachelors,"$49,100","$77,100",52%
538,Organizational Leadership & Supervision,Bachelors,"$49,600","$77,100",51%
539,Printing Technology,Bachelors,"$46,200","$77,100",-
540,Spanish Language,Bachelors,"$47,700","$77,100",51%
541,Multimedia,Bachelors,"$44,700","$77,000",45%
542,Spanish Language Teacher Education,Bachelors,"$45,500","$76,900",73%
543,Public Administration,Bachelors,"$46,700","$76,900",57%
544,Human Nutrition,Bachelors,"$48,600","$76,900",85%
545,Audio Engineering,Bachelors,"$48,300","$76,800",39%
546,Graphics Technology & Management,Bachelors,"$39,500","$76,800",38%
547,Physical Anthropology,Bachelors,"$52,900","$76,800",51%
548,Organizational Leadership,Bachelors,"$50,500","$76,700",58%
549,Environmental Health Science,Bachelors,"$53,800","$76,600",61%
550,Health Sciences,Bachelors,"$44,600","$76,600",70%
551,Journalism & Electronic Media,Bachelors,"$45,200","$76,500",48%
552,Religious Studies,Bachelors,"$43,900","$76,300",55%
553,Art History,Bachelors,"$46,600","$76,200",45%
554,Radiologic Science,Bachelors,"$57,600","$76,200",81%
555,3D Animation,Bachelors,"$51,800","$76,000",42%
556,Culture Studies,Bachelors,"$48,100","$75,900",40%
557,Merchandising,Bachelors,"$53,100","$75,900",31%
558,Administrative Management,Bachelors,"$52,700","$75,800",50%
559,Human Resources (HR),Bachelors,"$47,300","$75,800",56%
560,Liberal Arts,Bachelors,"$44,500","$75,800",53%
561,Adult Education & Training,Bachelors,"$48,700","$75,600",79%
562,Fashion Merchandising,Bachelors,"$46,900","$75,600",29%
563,Health & Fitness,Bachelors,"$39,800","$75,600",67%
564,Natural Resources,Bachelors,"$47,400","$75,500",64%
565,Organizational Management,Bachelors,"$48,800","$75,500",57%
566,Modern Languages,Bachelors,"$50,300","$75,400",53%
567,Natural Resource Management,Bachelors,"$46,500","$75,400",60%
568,Retail Management,Bachelors,"$50,100","$75,400",35%
569,Sociology & Anthropology,Bachelors,"$44,500","$75,400",50%
570,Creative Writing,Bachelors,"$45,300","$75,200",41%
571,Criminal Justice Administration,Bachelors,"$45,700","$75,100",56%
572,Ethnic Studies,Bachelors,"$47,500","$74,900",63%
573,Philosophy & Religious Studies,Bachelors,"$49,300","$74,900",61%
574,Radiology,Bachelors,"$54,800","$74,900",80%
575,Medical Laboratory Technology,Bachelors,"$56,900","$74,400",82%
576,Sports Management,Bachelors,"$45,400","$74,400",43%
577,Anthropology & English,Bachelors,"$48,000","$74,300",-
578,Broadcast Communication,Bachelors,"$40,000","$74,300",44%
579,Criminology,Bachelors,"$44,700","$74,300",54%
580,Earth Science,Bachelors,"$50,000","$74,300",48%
581,Media & Technology,Bachelors,"$45,200","$74,300",43%
582,Visual Communications,Bachelors,"$45,400","$74,300",38%
583,Advertising & Graphic Design,Bachelors,"$46,800","$74,200",37%
584,Applied Behavior Analysis,Bachelors,"$38,700","$74,200",81%
585,Psychology,Bachelors,"$44,700","$74,200",56%
586,Applied Management,Bachelors,"$45,500","$74,100",53%
587,Hotel & Restaurant Management,Bachelors,"$47,300","$74,100",48%
588,Anthropology,Bachelors,"$46,400","$73,900",46%
589,Arts Management,Bachelors,"$39,400","$73,800",48%
590,Diagnostic Medical Imaging,Bachelors,"$60,600","$73,800",73%
591,Communication Arts,Bachelors,"$42,400","$73,600",39%
592,Middle Eastern Studies,Bachelors,"$57,100","$73,600",48%
593,Radiologic Technology,Bachelors,"$55,200","$73,600",83%
594,Painting & Printmaking,Bachelors,"$34,700","$73,600",41%
595,Cardiopulmonary Science,Bachelors,"$48,900","$73,400",90%
596,Human Relations,Bachelors,"$45,000","$73,400",63%
597,Humanities,Bachelors,"$48,500","$73,200",49%
598,Health Care Administration,Bachelors,"$45,800","$73,100",69%
599,Health Care Management,Bachelors,"$46,700","$73,000",72%
600,Life Sciences,Bachelors,"$53,100","$73,000",64%
601,Ecology,Bachelors,"$46,400","$72,900",57%
602,Media Arts,Bachelors,"$46,500","$72,900",34%
603,Respiratory Care,Bachelors,"$54,800","$72,800",84%
604,Art & Design,Bachelors,"$45,100","$72,700",38%
605,Health Information Management,Bachelors,"$49,000","$72,700",69%
606,Hospitality Management,Bachelors,"$46,400","$72,700",43%
607,Health Teacher Education,Bachelors,"$37,900","$72,600",46%
608,Sports Medicine,Bachelors,"$50,100","$72,600",77%
609,Multimedia & Web Design,Bachelors,"$50,200","$72,600",34%
610,Sociology,Bachelors,"$46,200","$72,500",55%
611,Liberal Studies,Bachelors,"$44,300","$72,400",56%
612,Interior Design,Bachelors,"$45,100","$72,300",50%
613,Medical Laboratory Science,Bachelors,"$55,600","$72,300",85%
614,Secondary Education,Bachelors,"$44,600","$72,300",59%
615,Child Psychology,Bachelors,"$38,900","$72,200",64%
616,Exercise Physiology,Bachelors,"$44,100","$72,200",76%
617,Radiography,Bachelors,"$55,300","$72,200",85%
618,Archaeology,Bachelors,"$45,900","$72,100",46%
619,Art Administration,Bachelors,"$40,200","$72,100",56%
620,Hotel & Restaurant Tourism,Bachelors,"$44,300","$72,100",49%
621,Illustration,Bachelors,"$45,200","$72,100",36%
622,Arts & Science,Bachelors,"$45,700","$71,900",-
623,Health,Bachelors,"$44,200","$71,900",73%
624,Turfgrass Management,Bachelors,"$53,100","$71,900",51%
625,Animal Science & Management,Bachelors,"$44,200","$71,800",55%
626,SocialStudies,Bachelors,"$45,800","$71,700",57%
627,Human Resources Development,Bachelors,"$48,600","$71,600",50%
628,Speech Pathology & Audiology,Bachelors,"$44,100","$71,600",78%
629,Clinical Laboratory Science,Bachelors,"$55,100","$71,500",83%
630,Forensic Science,Bachelors,"$46,000","$71,500",64%
631,Health Administration,Bachelors,"$42,700","$71,500",66%
632,Geomatics,Bachelors,"$52,300","$71,400",70%
633,Media Communication,Bachelors,"$47,000","$71,400",45%
634,Health Management,Bachelors,"$45,100","$71,300",-
635,Commercial Photography,Bachelors,"$43,800","$71,300",23%
636,Fashion Design & Marketing,Bachelors,"$45,300","$71,100",44%
637,Mass Media,Bachelors,"$40,300","$71,100",49%
638,Medical Technology,Bachelors,"$56,500","$71,000",81%
639,Respiratory Therapy,Bachelors,"$54,500","$70,900",82%
640,Theater,Bachelors,"$44,600","$70,700",50%
641,Forensic Psychology,Bachelors,"$43,000","$70,600",54%
642,Kinesiology,Bachelors,"$44,800","$70,600",66%
643,Performing Arts,Bachelors,"$45,700","$70,500",57%
644,Psychology & Social Behavior,Bachelors,"$45,800","$70,500",59%
645,Religion,Bachelors,"$44,400","$70,500",59%
646,Radio & Television,Bachelors,"$43,100","$70,500",41%
647,Technology Teacher Education,Bachelors,"$47,700","$70,400",57%
648,Educational Studies (ED),Bachelors,"$40,300","$70,200",65%
649,Music,Bachelors,"$44,300","$70,200",55%
650,Business Leadership,Bachelors,"$50,100","$70,200",45%
651,Drafting & Design,Bachelors,"$51,000","$70,100",69%
652,Plant Sciences,Bachelors,"$48,000","$70,100",60%
653,Criminal Justice,Bachelors,"$42,800","$69,800",56%
654,Web Design,Bachelors,"$49,900","$69,800",25%
655,Graphic Design,Bachelors,"$45,100","$69,700",37%
656,Nutrition,Bachelors,"$48,100","$69,600",65%
657,Nutrition & Dietetics,Bachelors,"$50,800","$69,600",72%
658,Missions,Bachelors,"$41,300","$69,500",-
659,Dramatic Art,Bachelors,"$41,400","$69,400",-
660,Fashion Marketing & Management,Bachelors,"$47,700","$69,100",30%
661,Interdisciplinary Studies (IS),Bachelors,"$44,600","$68,900",56%
662,Hospitality & Tourism,Bachelors,"$44,200","$68,800",41%
663,Human Ecology,Bachelors,"$42,100","$68,800",54%
664,Ornamental Horticulture,Bachelors,"$46,000","$68,800",69%
665,Physical Therapist Assistant Studies,Bachelors,"$49,900","$68,800",85%
666,Public Health (PH),Bachelors,"$46,000","$68,800",69%
667,Art Therapy,Bachelors,"$41,100","$68,600",80%
668,Dietetics,Bachelors,"$51,300","$68,600",74%
669,Landscape Management,Bachelors,"$52,300","$68,600",-
670,Applied Sociology,Bachelors,"$42,200","$68,500",57%
671,Fine Arts,Bachelors,"$43,200","$68,500",44%
672,Modern Language Spanish,Bachelors,"$43,800","$68,500",52%
673,Women's Studies,Bachelors,"$45,200","$68,500",59%
674,Social & Criminal Justice,Bachelors,"$44,800","$68,500",59%
675,Animal Science,Bachelors,"$41,200","$68,300",64%
676,New Media,Bachelors,"$46,000","$68,300",33%
677,Textiles & Clothing,Bachelors,"$45,100","$68,300",47%
678,Event Management,Bachelors,"$41,700","$68,200",40%
679,Family & Consumer Science,Bachelors,"$42,600","$68,000",59%
680,Speech-Language Pathology,Bachelors,"$44,100","$67,900",70%
681,Technical Theatre,Bachelors,"$41,000","$67,600",42%
682,Education,Bachelors,"$44,100","$67,500",65%
683,Foods & Nutrition,Bachelors,"$47,000","$67,500",68%
684,Recreation Management,Bachelors,"$42,300","$67,500",58%
685,Business & Healthcare Management,Bachelors,"$46,900","$67,300",69%
686,Agricultural Teacher Education,Bachelors,"$53,500","$67,100",-
687,Music Composition,Bachelors,"$44,000","$66,900",51%
688,Art,Bachelors,"$43,400","$66,700",46%
689,Psychology & Sociology,Bachelors,"$42,800","$66,700",53%
690,Drawing & Painting,Bachelors,"$42,800","$66,600",48%
691,Nonprofit Management,Bachelors,"$42,300","$66,300",79%
692,Small Business Management,Bachelors,"$47,100","$66,200",38%
693,Behavioral Science,Bachelors,"$43,000","$66,000",62%
694,Horticulture & Agronomy,Bachelors,"$52,500","$65,900",-
695,Health Services Administration,Bachelors,"$42,700","$65,800",63%
696,Multidisciplinary Studies,Bachelors,"$41,800","$65,800",53%
697,Restaurant & Food Service Management,Bachelors,"$43,900","$65,800",45%
698,Consumer Affairs,Bachelors,"$51,000","$65,700",43%
699,Training and Development,Bachelors,"$52,600","$65,600",-
700,Health & Exercise Science,Bachelors,"$41,700","$65,600",67%
701,Electronic Media,Bachelors,"$45,300","$65,600",37%
702,Environmental Resource Management,Bachelors,"$48,700","$65,500",65%
703,Theatre Arts,Bachelors,"$43,500","$65,300",51%
704,Applied Linguistics,Bachelors,"$46,800","$65,200",44%
705,African American & African Studies,Bachelors,"$46,400","$65,100",60%
706,Exercise & Sports Science,Bachelors,"$42,600","$65,100",70%
707,General Studies,Bachelors,"$43,600","$65,100",52%
708,Justice Studies,Bachelors,"$45,300","$65,100",50%
709,Video Production,Bachelors,"$42,800","$65,100",33%
710,Graphic Arts,Bachelors,"$42,700","$64,900",41%
711,Physical Education Teaching,Bachelors,"$42,200","$64,900",69%
712,Health Services Management,Bachelors,"$41,600","$64,800",83%
713,Physical Education & Exercise Science,Bachelors,"$44,100","$64,800",72%
714,Drawing,Bachelors,"$37,400","$64,800",39%
715,Exercise Science,Bachelors,"$41,400","$64,700",73%
716,Printmaking,Bachelors,"$38,400","$64,300",40%
717,Sports Administration,Bachelors,"$43,300","$64,300",47%
718,Theology,Bachelors,"$42,800","$64,300",68%
719,Interior Design & Merchandising,Bachelors,"$43,700","$64,200",37%
720,Recreation & Leisure Studies,Bachelors,"$40,300","$64,200",60%
721,Human Development,Bachelors,"$43,700","$64,100",64%
722,Music Industry,Bachelors,"$45,800","$64,100",38%
723,Wildlife Management,Bachelors,"$39,700","$64,100",49%
724,Supervision & Management,Bachelors,"$41,700","$64,100",57%
725,Health & Wellness,Bachelors,"$40,100","$64,000",70%
726,Culinary Arts & Food Service Management,Bachelors,"$41,300","$64,000",50%
727,Mortuary Science,Bachelors,"$43,500","$64,000",85%
728,Clinical Psychology,Bachelors,"$43,000","$63,900",65%
729,Community Health Education,Bachelors,"$42,600","$63,900",75%
730,Dance,Bachelors,"$45,100","$63,900",62%
731,Speech Pathology,Bachelors,"$42,800","$63,700",69%
732,Gender Studies,Bachelors,"$45,500","$63,600",55%
733,Secondary English Teacher Education,Bachelors,"$42,000","$63,600",64%
734,Photography,Bachelors,"$43,800","$63,500",38%
735,English Teacher Education,Bachelors,"$43,300","$63,100",57%
736,Paralegal Studies,Bachelors,"$39,600","$63,100",50%
737,Social Studies Teacher Education,Bachelors,"$43,400","$63,100",65%
738,Teaching English as a Second Language (ESL),Bachelors,"$42,800","$63,000",73%
739,Music Teacher Education,Bachelors,"$42,000","$63,000",62%
740,Health Promotion,Bachelors,"$42,300","$62,800",69%
741,Recording Arts,Bachelors,"$44,800","$62,800",48%
742,Photojournalism,Bachelors,"$41,900","$62,600",59%
743,Recreation Administration,Bachelors,"$47,000","$62,500",71%
744,Radio Broadcasting,Bachelors,"$46,300","$62,400",33%
745,Sculpture,Bachelors,"$40,300","$62,200",47%
746,Painting,Bachelors,"$40,700","$62,000",44%
747,Psychology & Social Sciences,Bachelors,"$42,600","$62,000",68%
748,Health & Physical Education Teaching,Bachelors,"$38,700","$61,900",65%
749,Organizational Administration,Bachelors,"$45,000","$61,800",-
750,Tourism Management,Bachelors,"$43,100","$61,600",38%
751,Instrumental Music Teacher Education,Bachelors,"$41,700","$61,600",65%
752,Emergency Medical Services (EMS),Bachelors,"$44,200","$61,400",-
753,Community Health,Bachelors,"$45,400","$61,300",72%
754,Health & Human Performance,Bachelors,"$38,100","$61,100",68%
755,Music Therapy,Bachelors,"$43,100","$60,700",93%
756,Social Services,Bachelors,"$39,900","$60,500",82%
757,Rehabilitation Services,Bachelors,"$35,800","$60,200",79%
758,Horticulture,Bachelors,"$43,000","$60,100",59%
759,University Studies,Bachelors,"$42,400","$60,000",49%
760,Church Ministries,Bachelors,"$40,000","$59,900",79%
761,Communicative Disorders,Bachelors,"$47,400","$59,800",73%
762,Social Science Teacher Education,Bachelors,"$45,400","$59,800",-
763,Wildlife Biology,Bachelors,"$42,900","$59,800",60%
764,Community Development,Bachelors,"$44,600","$59,400",63%
765,Psychology & Human Services,Bachelors,"$35,600","$59,400",-
766,Athletic Training,Bachelors,"$42,100","$59,300",75%
767,Biblical Studies,Bachelors,"$40,500","$59,000",72%
768,Biblical Studies & Practical Ministries,Bachelors,"$36,400","$58,900",76%
769,Counseling Psychology,Bachelors,"$42,700","$58,900",64%
770,Recreational Studies,Bachelors,"$42,100","$58,900",69%
771,Teaching,Bachelors,"$42,000","$58,900",72%
772,Home Economics,Bachelors,"$41,800","$58,700",69%
773,Library & Information Science,Bachelors,"$48,200","$58,700",48%
774,Human Development & Family Studies,Bachelors,"$40,300","$58,600",66%
775,Tourism & Travel,Bachelors,"$42,200","$58,600",43%
776,Landscape Design,Bachelors,"$49,000","$58,500",63%
777,Ceramics,Bachelors,"$42,200","$58,300",51%
778,Clinical Social Work (CSW),Bachelors,"$43,500","$58,300",-
779,Parks & Recreation Management,Bachelors,"$42,700","$58,300",56%
780,Pastoral Ministry,Bachelors,"$38,700","$58,000",83%
781,Vocal Performance,Bachelors,"$42,600","$58,000",65%
782,Art Teacher Education,Bachelors,"$40,300","$57,500",62%
783,Bible Studies & Theology,Bachelors,"$40,000","$57,500",67%
784,Forensic Accounting,Bachelors,"$48,300","$57,200",48%
785,Communication Sciences & Disorders,Bachelors,"$43,300","$57,100",76%
786,Legal Assistant Studies,Bachelors,"$38,100","$57,100",38%
787,Special Education,Bachelors,"$41,300","$57,000",76%
788,Conservation Biology,Bachelors,"$42,800","$56,900",57%
789,Family Studies,Bachelors,"$39,200","$56,800",68%
790,Christian Ministry,Bachelors,"$38,100","$56,400",79%
791,Speech & Hearing,Bachelors,"$43,300","$56,400",76%
792,Health and Human Services,Bachelors,"$43,500","$56,300",65%
793,Musical Theatre,Bachelors,"$43,500","$56,100",50%
794,History Teacher Education,Bachelors,"$47,700","$55,600",46%
795,Developmental Psychology,Bachelors,"$38,200","$55,000",-
796,Therapeutic Recreation,Bachelors,"$39,500","$54,900",82%
797,Applied Behavioral Science,Bachelors,"$40,500","$54,600",50%
798,Community & Human Services,Bachelors,"$42,400","$54,600",80%
799,Social Work (SW),Bachelors,"$38,600","$54,600",76%
800,Office Administration,Bachelors,"$38,700","$54,500",65%
801,Ministry,Bachelors,"$36,700","$54,300",81%
802,Family & Community Services,Bachelors,"$42,200","$54,300",74%
803,Youth Ministry,Bachelors,"$37,400","$54,200",76%
804,Elementary Education,Bachelors,"$40,000","$53,800",69%
805,Voice & Opera,Bachelors,"$34,500","$53,300",57%
806,Christian Education,Bachelors,"$38,700","$53,200",82%
807,Conflict Resolution,Bachelors,"$44,400","$53,200",50%
808,Baking & Pastry Arts,Bachelors,"$37,500","$53,000",44%
809,Human Services Management,Bachelors,"$45,600","$53,000",-
810,Hospitality & The Culinary Arts,Bachelors,"$38,800","$52,900",-
811,Human Services (HS),Bachelors,"$38,700","$52,500",71%
812,Counseling,Bachelors,"$39,900","$51,700",78%
813,Recreational Therapy,Bachelors,"$38,400","$51,600",84%
814,Child Development,Bachelors,"$37,400","$51,400",73%
815,Educational Psychology,Bachelors,"$36,900","$51,200",-
816,Middle School Education,Bachelors,"$41,200","$50,800",73%
817,Mental Health Counseling,Bachelors,"$36,100","$50,000",78%
818,Early Childhood & Elementary Education,Bachelors,"$38,000","$48,400",77%
819,Equine Studies,Bachelors,"$35,700","$47,100",50%
820,Addiction Studies,Bachelors,"$38,000","$47,000",84%
821,Child & Family Studies,Bachelors,"$36,400","$46,500",73%
822,Rehabilitation Counseling,Bachelors,"$39,200","$46,400",-
823,Outdoor Education,Bachelors,"$37,400","$46,300",52%
824,Early Childhood Education,Bachelors,"$36,100","$45,400",78%
825,Mental Health,Bachelors,"$36,900","$45,000",-
826,Medical Assisting,Bachelors,"$36,000","$44,800",-
827,Metalsmithing,Bachelors,"$40,000","$40,300",33%
